Row Labels,Average of SHAPE_Area,Count of FID
Apartment Shop,10916.95908,53
Business,5389.843171,331
Commercial,4904.786831,1391
Community Unit Plan,5629.932417,692
Heavy Industrial,45922.99447,350
Light Industrial,9470.570813,860
Local Shopping,3066.692133,81
None,7750.11516,25
Parking,2252.655414,512
Professional Office,7685.462603,536
Residential - 2 Unit,1311.89594,5022
Residential - Multiple,5298.741011,1458
Residential - Single,2583.486416,31737
Residential/Office,1192.678503,11
Right of Way,10015.43176,841
Wholesale,11414.71128,157
Grand Total,3394.420671,44057
